CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
1902103,CAYUGA ISD,CAYUGA ELEM.,3,INDEPENDENT,17750 N US HWY 287,TENNESSEE COLONY,75861,6,40,38,27
1903102,ELKHART ISD,ELKHART INTERME,3,INDEPENDENT,301 E PARKER ST,ELKHART,75839-9701,26,68,37,12
1904102,FRANKSTON ISD,FRANKSTON ELEM.,3,INDEPENDENT,100 PERRY ST,FRANKSTON,75763-0428,16,39,26,10
1906102,NECHES ISD,NECHES ELEM.,3,INDEPENDENT,3055 FM 2574,PALESTINE,75803,5,20,7,2
1907107,PALESTINE ISD,SOUTHSIDE ELEM.,3,INDEPENDENT,201 GILLESPIE RD,PALESTINE,75801-7627,46,174,93,51
1908101,WESTWOOD ISD,WESTWOOD ELEM.,3,INDEPENDENT,2305 SALT WORKS RD,PALESTINE,75803-3955,50,56,22,6
1909101,SLOCUM ISD,SLOCUM PRE-K -,3,INDEPENDENT,5765 E STATE HWY 294,ELKHART,75839-9802,5,22,13,5
2901101,ANDREWS ISD,DEVONIAN ELEM.,3,INDEPENDENT,1214 NW 11TH ST,ANDREWS,79714-3240,49,232,144,69
3801103,PINEYWOODS COMM,SARAH STRINDEN,3,CHARTER,602 S RAGUET ST,LUFKIN,75904,15,65,44,28
3902102,HUDSON ISD,W.H. BONNER ELE,3,INDEPENDENT,536 FM 3258,LUFKIN,75904,27,166,107,49
3903120,LUFKIN ISD,ANDERSON ELEM.,3,INDEPENDENT,381 CHAMPION DR,LUFKIN,75901-7229,29,50,20,4
3903121,LUFKIN ISD,BRANDON ELEM.,3,INDEPENDENT,1612 SAYERS ST,LUFKIN,75904-2012,29,96,62,31
3903122,LUFKIN ISD,BROOKHOLLOW ELE,3,INDEPENDENT,1009 LIVE OAK LN,LUFKIN,75904-4245,37,64,25,12
3903123,LUFKIN ISD,COSTON ELEM.,3,INDEPENDENT,707 TRENTON,LUFKIN,75901-2497,23,55,26,10
3903129,LUFKIN ISD,SLACK ELEM.,3,INDEPENDENT,1305 FULLER SPRINGS DR,LUFKIN,75901-6515,29,127,71,31
3904101,HUNTINGTON ISD,HUNTINGTON ELEM,3,INDEPENDENT,408 E LINN ST,HUNTINGTON,75949-0328,27,86,44,21
3905103,DIBOLL ISD,H.G. TEMPLE INT,3,INDEPENDENT,1301 LUMBERJACK DR,DIBOLL,75941,31,76,35,12
3906101,ZAVALLA ISD,ZAVALLA ELEM.,3,INDEPENDENT,431 E MAIN ST,ZAVALLA,75980-0045,4,23,14,9
3907102,CENTRAL ISD,CENTRAL ELEM.,3,INDEPENDENT,8578 US HWY 69N,POLLOK,75969-9710,28,74,33,13
4901101,ARANSAS COUNTY,FULTON LEARNING,3,INDEPENDENT,314 N 6TH ST,FULTON,78358-0907,91,126,51,28
5901101,ARCHER CITY ISD,ARCHER CITY ELE,3,INDEPENDENT,602 S ASH ST,ARCHER CITY,76351-0926,0,27,23,18
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,3,INDEPENDENT,751 COLLEGE AVE,HOLLIDAY,76366-0689,15,53,30,7
5904101,WINDTHORST ISD,WINDTHORST ELEM,3,INDEPENDENT,100 ST MARYS DR,WINDTHORST,76389-0190,1,22,14,9
6902101,CLAUDE ISD,CLAUDE ELEM.,3,,,,,3,24,17,14
7901101,CHARLOTTE ISD,CHARLOTTE ELEM.,3,INDEPENDENT,168 WATSON AVE,CHARLOTTE,78011-0489,2,28,15,4
7902101,JOURDANTON ISD,JOURDANTON ELEM,3,INDEPENDENT,200 ZANDERSON AVE,JOURDANTON,78026-3045,35,84,40,15
7904101,LYTLE ISD,LYTLE ELEM.,3,INDEPENDENT,11550 LAREDO,LYTLE,78052-1060,45,74,30,12
7905103,PLEASANTON ISD,PLEASANTON ELEM,3,INDEPENDENT,101 GRANT ST,PLEASANTON,78064-3028,79,159,75,35
7906101,POTEET ISD,POTEET ELEM.,3,INDEPENDENT,965 HORTON LN,POTEET,78065-0138,41,90,42,9
8901101,BELLVILLE ISD,O'BRYANT PRIMAR,3,INDEPENDENT,413 S TESCH,BELLVILLE,77418-1599,30,113,67,34
8901105,BELLVILLE ISD,WEST END ELEM.,3,INDEPENDENT,7453 ERNST PKWY,INDUSTRY,78944-0099,7,18,11,6
8902102,SEALY ISD,SELMAN ELEM.,3,INDEPENDENT,1741 HWY 90 W,SEALY,77474-3400,30,75,41,15
8902104,SEALY ISD,SEALY ELEM.,3,INDEPENDENT,723 FM 2187,SEALY,77474,26,67,32,12
8903102,BRAZOS ISD,BRAZOS ELEM.,3,INDEPENDENT,9814 KIBLER ST,ORCHARD,77464-0030,14,44,23,9
9901101,MULESHOE ISD,MARY DESHAZO EL,3,INDEPENDENT,300 W 3RD,MULESHOE,79347-3499,41,50,25,13
10901001,MEDINA ISD,MEDINA SCHOOL,3,INDEPENDENT,ONE BOBCAT LN,MEDINA,78055-1470,7,13,6,2
10902101,BANDERA ISD,ALKEK ELEM.,3,INDEPENDENT,1798 HWY 173 S,BANDERA,78003-0727,8,55,30,15
10902102,BANDERA ISD,HILL COUNTRY EL,3,INDEPENDENT,6346 FM 1283,PIPE CREEK,78063,20,52,23,10
11901101,BASTROP ISD,EMILE ELEM.,3,INDEPENDENT,601 MLK,BASTROP,78602-3717,35,97,55,29
11901102,BASTROP ISD,MINA ELEM.,3,INDEPENDENT,1203 HILL ST,BASTROP,78602-3717,7,96,53,25
11901103,BASTROP ISD,CEDAR CREEK ELE,3,INDEPENDENT,5582 FM 535,CEDAR CREEK,78612,27,114,74,35
11901107,BASTROP ISD,RED ROCK ELEM.,3,INDEPENDENT,2401 FM 20,RED ROCK,78662,50,71,34,10
11901109,BASTROP ISD,BLUEBONNET ELEM,3,INDEPENDENT,416 FM 1209,BASTROP,78602,38,100,62,27
11901110,BASTROP ISD,LOST PINES ELEM,3,INDEPENDENT,151 TIGER WOODS DR,BASTROP,78602,41,84,41,21
11902101,ELGIN ISD,BOOKER T. WASHI,3,INDEPENDENT,510 MLK,ELGIN,78621-3032,57,46,17,6
11902102,ELGIN ISD,ELGIN ELEM.,3,INDEPENDENT,1005 W 2ND ST,ELGIN,78621-2038,27,59,26,12
11902103,ELGIN ISD,NEIDIG ELEM.,3,INDEPENDENT,13700 COUNTY LINE RD,ELGIN,78621,35,69,31,12
11904101,SMITHVILLE ISD,SMITHVILLE ELEM,3,INDEPENDENT,800 BISHOP ST,SMITHVILLE,78957-0479,18,90,61,35
11905101,MCDADE ISD,MCDADE ELEM.,3,INDEPENDENT,156 MARLIN ST,MCDADE,78650-0400,3,29,18,11
