CAMPUS,DNAME,CNAME,GRADE,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
1902103,CAYUGA ISD,CAYUGA ELEM.,5,4.0,44.0,41.0,29.0
1903102,ELKHART ISD,ELKHART INTERME,5,3.0,80.0,65.0,43.0
1904102,FRANKSTON ISD,FRANKSTON ELEM.,5,7.0,53.0,40.0,26.0
1906102,NECHES ISD,NECHES ELEM.,5,1.0,23.0,15.0,10.0
1907110,PALESTINE ISD,STORY INTERMEDI,5,58.0,185.0,106.0,51.0
1908101,WESTWOOD ISD,WESTWOOD ELEM.,5,43.0,82.0,38.0,22.0
1909101,SLOCUM ISD,SLOCUM PRE-K -,5,3.0,20.0,10.0,5.0
2901104,ANDREWS ISD,UNDERWOOD ELEM.,5,97.0,220.0,134.0,74.0
3801103,PINEYWOODS COMM,SARAH STRINDEN,5,5.0,77.0,54.0,35.0
3902102,HUDSON ISD,W.H. BONNER ELE,5,7.0,203.0,164.0,121.0
3903120,LUFKIN ISD,ANDERSON ELEM.,5,14.0,71.0,49.0,30.0
3903121,LUFKIN ISD,BRANDON ELEM.,5,35.0,97.0,72.0,50.0
3903122,LUFKIN ISD,BROOKHOLLOW ELE,5,23.0,82.0,46.0,28.0
3903123,LUFKIN ISD,COSTON ELEM.,5,12.0,74.0,51.0,38.0
3903129,LUFKIN ISD,SLACK ELEM.,5,44.0,100.0,58.0,35.0
3904102,HUNTINGTON ISD,HUNTINGTON INTE,5,12.0,113.0,67.0,40.0
3905103,DIBOLL ISD,H.G. TEMPLE INT,5,26.0,117.0,61.0,33.0
3906101,ZAVALLA ISD,ZAVALLA ELEM.,5,3.0,17.0,10.0,7.0
3907041,CENTRAL ISD,CENTRAL JR.H.,5,24.0,81.0,44.0,23.0
4901101,ARANSAS COUNTY,FULTON LEARNING,5,71.0,163.0,97.0,62.0
5901101,ARCHER CITY ISD,ARCHER CITY ELE,5,1.0,32.0,24.0,15.0
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,5,9.0,74.0,60.0,42.0
5904101,WINDTHORST ISD,WINDTHORST ELEM,5,1.0,27.0,19.0,15.0
6902101,CLAUDE ISD,CLAUDE ELEM.,5,0.0,29.0,21.0,16.0
7901041,CHARLOTTE ISD,CHARLOTTE M.S.,5,14.0,21.0,10.0,5.0
7902101,JOURDANTON ISD,JOURDANTON ELEM,5,34.0,85.0,47.0,25.0
7904101,LYTLE ISD,LYTLE ELEM.,5,30.0,94.0,59.0,35.0
7905103,PLEASANTON ISD,PLEASANTON ELEM,5,85.0,172.0,85.0,47.0
7906102,POTEET ISD,POTEET INTERMED,5,29.0,91.0,63.0,32.0
8901102,BELLVILLE ISD,O'BRYANT INTERM,5,25.0,106.0,65.0,39.0
8901105,BELLVILLE ISD,WEST END ELEM.,5,1.0,27.0,16.0,12.0
8902102,SEALY ISD,SELMAN ELEM.,5,24.0,93.0,55.0,37.0
8902104,SEALY ISD,SEALY ELEM.,5,20.0,100.0,53.0,31.0
8903102,BRAZOS ISD,BRAZOS ELEM.,5,21.0,45.0,20.0,10.0
8903103,BRAZOS ISD,PRAIRIE HARBOR,5,,,,
9901101,MULESHOE ISD,MARY DESHAZO EL,5,33.0,70.0,38.0,21.0
10901001,MEDINA ISD,MEDINA SCHOOL,5,4.0,16.0,11.0,5.0
10902101,BANDERA ISD,ALKEK ELEM.,5,14.0,74.0,52.0,31.0
10902102,BANDERA ISD,HILL COUNTRY EL,5,32.0,51.0,20.0,7.0
11901104,BASTROP ISD,BASTROP INTERME,5,104.0,315.0,220.0,132.0
11901108,BASTROP ISD,CEDAR CREEK INT,5,106.0,309.0,185.0,94.0
11902101,ELGIN ISD,BOOKER T. WASHI,5,49.0,72.0,28.0,12.0
11902102,ELGIN ISD,ELGIN ELEM.,5,43.0,59.0,31.0,12.0
11902103,ELGIN ISD,NEIDIG ELEM.,5,50.0,50.0,24.0,14.0
11904101,SMITHVILLE ISD,SMITHVILLE ELEM,5,36.0,100.0,60.0,37.0
11905101,MCDADE ISD,MCDADE ELEM.,5,13.0,21.0,11.0,5.0
12901042,SEYMOUR ISD,SEYMOUR M.S.,5,3.0,44.0,28.0,12.0
13801101,ST. MARY'S ACAD,ST. MARY'S ACAD,5,4.0,64.0,43.0,20.0
13901101,BEEVILLE ISD,R.A. HALL ELEM.,5,24.0,95.0,49.0,26.0
13901102,BEEVILLE ISD,FADDEN-MCKEOWN-,5,39.0,72.0,26.0,12.0
13902101,PAWNEE ISD,PAWNEE ELEM. -,5,0.0,14.0,9.0,6.0
13903101,PETTUS ISD,PETTUS ELEM.,5,13.0,26.0,8.0,2.0
13905101,SKIDMORE-TYNAN,SKIDMORE-TYNAN,5,13.0,54.0,25.0,11.0
14803002,PRIORITY CHARTE,GEORGETOWN CHAR,5,1.0,4.0,1.0,1.0
14803003,PRIORITY CHARTE,COVE CHARTER AC,5,5.0,15.0,7.0,3.0
14803004,PRIORITY CHARTE,CEDAR PARK CHAR,5,4.0,8.0,4.0,2.0
14803101,PRIORITY CHARTE,TEMPLE CHARTER,5,2.0,21.0,15.0,9.0
14804002,ORENDA CHARTER,NEW HORIZONS,5,6.0,4.0,1.0,0.0
14804006,ORENDA CHARTER,GATEWAY COLLEGE,5,7.0,108.0,76.0,51.0
14804007,ORENDA CHARTER,NOLAN CREEK SCH,5,3.0,9.0,7.0,3.0
14804008,ORENDA CHARTER,KINGSLAND SCHOO,5,8.0,11.0,3.0,1.0
14901101,ACADEMY ISD,ACAD. INTERMEDI,5,8.0,127.0,97.0,63.0
