CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level Hispanic,Below Grade Level Asian,Below Grade Level Black,Below Grade Level White,Approach Grade Level Hispanic,Approach Grade Level Asian,Approach Grade Level Black,Approach Grade Level White,Meet Grade Level Hispanic,Meet Grade Level Asian,Meet Grade Level Black,Meet Grade Level White,Master Grade Level Hispanic,Master Grade Level Asian,Master Grade Level Black,Master Grade Level White
1902103,CAYUGA ISD,CAYUGA ELEM.,3,INDEPENDENT,17750 N US HWY 287,TENNESSEE COLONY,75861,0.0,0.0,0.0,4.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,22.0
1903102,ELKHART ISD,ELKHART INTERME,3,INDEPENDENT,301 E PARKER ST,ELKHART,75839-9701,4.0,0.0,3.0,18.0,6.0,0.0,2.0,58.0,4.0,0.0,0.0,33.0,1.0,0.0,0.0,11.0
1904102,FRANKSTON ISD,FRANKSTON ELEM.,3,INDEPENDENT,100 PERRY ST,FRANKSTON,75763-0428,1.0,0.0,4.0,10.0,4.0,0.0,2.0,30.0,3.0,0.0,1.0,21.0,1.0,0.0,0.0,8.0
1906102,NECHES ISD,NECHES ELEM.,3,INDEPENDENT,3055 FM 2574,PALESTINE,75803,1.0,0.0,0.0,1.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
1907107,PALESTINE ISD,SOUTHSIDE ELEM.,3,INDEPENDENT,201 GILLESPIE RD,PALESTINE,75801-7627,14.0,0.0,19.0,9.0,76.0,0.0,39.0,51.0,39.0,0.0,16.0,33.0,23.0,0.0,8.0,17.0
1908101,WESTWOOD ISD,WESTWOOD ELEM.,3,INDEPENDENT,2305 SALT WORKS RD,PALESTINE,75803-3955,17.0,0.0,9.0,22.0,11.0,0.0,7.0,36.0,2.0,0.0,1.0,18.0,0.0,0.0,0.0,5.0
1909101,SLOCUM ISD,SLOCUM PRE-K -,3,INDEPENDENT,5765 E STATE HWY 294,ELKHART,75839-9802,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0
2901101,ANDREWS ISD,DEVONIAN ELEM.,3,INDEPENDENT,1214 NW 11TH ST,ANDREWS,79714-3240,38.0,0.0,0.0,10.0,142.0,0.0,0.0,82.0,81.0,0.0,0.0,57.0,33.0,0.0,0.0,32.0
3801103,PINEYWOODS COMM,SARAH STRINDEN,3,CHARTER,602 S RAGUET ST,LUFKIN,75904,2.0,0.0,3.0,6.0,24.0,0.0,6.0,32.0,13.0,0.0,4.0,26.0,7.0,0.0,3.0,17.0
3902102,HUDSON ISD,W.H. BONNER ELE,3,INDEPENDENT,536 FM 3258,LUFKIN,75904,13.0,0.0,2.0,10.0,37.0,0.0,10.0,111.0,20.0,0.0,5.0,76.0,9.0,0.0,3.0,34.0
