CAMPUS,DNAME,CNAME,GRADE,m_all_unsatgl_nm,m_sexm_unsatgl_nm,m_sexf_unsatgl_nm,m_ethh_unsatgl_nm,m_ethi_unsatgl_nm,m_etha_unsatgl_nm,m_ethb_unsatgl_nm,m_ethp_unsatgl_nm,m_ethw_unsatgl_nm,m_ecoy_unsatgl_nm,m_econ_unsatgl_nm,m_eco1_unsatgl_nm,m_eco2_unsatgl_nm,m_eco9_unsatgl_nm,m_ti19_unsatgl_nm,m_migy_unsatgl_nm,m_mign_unsatgl_nm,m_spey_unsatgl_nm,m_spen_unsatgl_nm,m_gify_unsatgl_nm,m_gifn_unsatgl_nm,m_atry_unsatgl_nm,m_atrn_unsatgl_nm,m_all_approgl_nm,m_sexm_approgl_nm,m_sexf_approgl_nm,m_ethh_approgl_nm,m_ethi_approgl_nm,m_etha_approgl_nm,m_ethb_approgl_nm,m_ethp_approgl_nm,m_ethw_approgl_nm,m_ecoy_approgl_nm,m_econ_approgl_nm,m_eco1_approgl_nm,m_eco2_approgl_nm,m_eco9_approgl_nm,m_ti19_approgl_nm,m_migy_approgl_nm,m_mign_approgl_nm,m_spey_approgl_nm,m_spen_approgl_nm,m_gify_approgl_nm,m_gifn_approgl_nm,m_atry_approgl_nm,m_atrn_approgl_nm,m_all_meetsgl_nm,m_sexm_meetsgl_nm,m_sexf_meetsgl_nm,m_ethh_meetsgl_nm,m_ethi_meetsgl_nm,m_etha_meetsgl_nm,m_ethb_meetsgl_nm,m_ethp_meetsgl_nm,m_ethw_meetsgl_nm,m_ecoy_meetsgl_nm,m_econ_meetsgl_nm,m_eco1_meetsgl_nm,m_eco2_meetsgl_nm,m_eco9_meetsgl_nm,m_ti19_meetsgl_nm,m_migy_meetsgl_nm,m_mign_meetsgl_nm,m_spey_meetsgl_nm,m_spen_meetsgl_nm,m_gify_meetsgl_nm,m_gifn_meetsgl_nm,m_atry_meetsgl_nm,m_atrn_meetsgl_nm,m_all_mastrgl_nm,m_sexm_mastrgl_nm,m_sexf_mastrgl_nm,m_ethh_mastrgl_nm,m_ethi_mastrgl_nm,m_etha_mastrgl_nm,m_ethb_mastrgl_nm,m_ethp_mastrgl_nm,m_ethw_mastrgl_nm,m_ecoy_mastrgl_nm,m_econ_mastrgl_nm,m_eco1_mastrgl_nm,m_eco2_mastrgl_nm,m_eco9_mastrgl_nm,m_ti19_mastrgl_nm,m_migy_mastrgl_nm,m_mign_mastrgl_nm,m_spey_mastrgl_nm,m_spen_mastrgl_nm,m_gify_mastrgl_nm,m_gifn_mastrgl_nm,m_atry_mastrgl_nm,m_atrn_mastrgl_nm,School Number,School Site Street Address,School Site City,School Site Zip,District Type
1902103,CAYUGA ISD,CAYUGA ELEM.,5,4.0,2.0,2.0,,,,,,4.0,2.0,2.0,2.0,0.0,,,,4.0,3.0,1.0,0.0,4.0,4.0,0.0,44.0,21.0,23.0,,,,,,42.0,21.0,23.0,13.0,8.0,,,,44.0,5.0,39.0,5.0,39.0,25.0,19.0,41.0,19.0,22.0,,,,,,39.0,20.0,21.0,12.0,8.0,,,,41.0,4.0,37.0,5.0,36.0,23.0,18.0,29.0,14.0,15.0,,,,,,29.0,13.0,16.0,6.0,7.0,,,,29.0,1.0,28.0,5.0,24.0,15.0,14.0,'001902103,17750 N US HWY 287,TENNESSEE COLONY,75861,INDEPENDENT
1903102,ELKHART ISD,ELKHART INTERME,5,3.0,2.0,1.0,0.0,,,,,3.0,2.0,1.0,2.0,0.0,,,,3.0,1.0,2.0,0.0,3.0,3.0,0.0,80.0,46.0,34.0,9.0,,,,,66.0,38.0,42.0,32.0,6.0,,,,80.0,9.0,71.0,5.0,75.0,26.0,54.0,65.0,38.0,27.0,8.0,,,,,53.0,30.0,35.0,24.0,6.0,,,,65.0,6.0,59.0,5.0,60.0,16.0,49.0,43.0,25.0,18.0,5.0,,,,,35.0,16.0,27.0,13.0,3.0,,,,43.0,2.0,41.0,4.0,39.0,5.0,38.0,'001903102,301 E PARKER ST,ELKHART,75839-9701,INDEPENDENT
1904102,FRANKSTON ISD,FRANKSTON ELEM.,5,7.0,5.0,2.0,0.0,,,1.0,,4.0,4.0,3.0,4.0,,,,,7.0,5.0,2.0,,7.0,7.0,0.0,53.0,21.0,32.0,7.0,,,4.0,,38.0,27.0,26.0,24.0,,,,,53.0,0.0,53.0,,50.0,13.0,40.0,40.0,15.0,25.0,6.0,,,2.0,,31.0,20.0,20.0,17.0,,,,,40.0,0.0,40.0,,38.0,6.0,34.0,26.0,10.0,16.0,6.0,,,0.0,,19.0,13.0,13.0,11.0,,,,,26.0,0.0,26.0,,24.0,3.0,23.0,'001904102,100 PERRY ST,FRANKSTON,75763-0428,INDEPENDENT
1906102,NECHES ISD,NECHES ELEM.,5,1.0,1.0,0.0,,,,,,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,,1.0,0.0,1.0,23.0,8.0,15.0,,,,,,18.0,6.0,17.0,5.0,,,,,23.0,,22.0,,21.0,7.0,16.0,15.0,5.0,10.0,,,,,,12.0,4.0,11.0,3.0,,,,,15.0,,15.0,,13.0,3.0,12.0,10.0,4.0,6.0,,,,,,8.0,1.0,9.0,0.0,,,,,10.0,,10.0,,8.0,0.0,10.0,'001906102,3055 FM 2574,PALESTINE,75803,INDEPENDENT
1907110,PALESTINE ISD,STORY INTERMEDI,5,58.0,29.0,29.0,27.0,,,12.0,,16.0,49.0,9.0,47.0,2.0,,,,57.0,17.0,41.0,0.0,58.0,52.0,6.0,185.0,95.0,90.0,75.0,,,41.0,,58.0,128.0,57.0,113.0,15.0,,,,185.0,11.0,174.0,10.0,175.0,101.0,84.0,106.0,56.0,50.0,46.0,,,16.0,,36.0,70.0,36.0,64.0,6.0,,,,106.0,4.0,102.0,10.0,96.0,41.0,65.0,51.0,29.0,22.0,22.0,,,3.0,,20.0,30.0,21.0,29.0,1.0,,,,51.0,0.0,51.0,6.0,45.0,15.0,36.0,'001907110,5300 S LOOP 256,PALESTINE,75801-2415,INDEPENDENT
1908101,WESTWOOD ISD,WESTWOOD ELEM.,5,43.0,21.0,22.0,12.0,,,12.0,,17.0,33.0,10.0,30.0,,,,,43.0,12.0,31.0,,43.0,40.0,3.0,82.0,40.0,42.0,20.0,,,9.0,,50.0,48.0,34.0,47.0,,,,,82.0,1.0,81.0,,80.0,43.0,39.0,38.0,21.0,17.0,9.0,,,4.0,,23.0,20.0,18.0,20.0,,,,,38.0,0.0,38.0,,36.0,13.0,25.0,22.0,13.0,9.0,6.0,,,3.0,,12.0,11.0,11.0,11.0,,,,,22.0,0.0,22.0,,21.0,6.0,16.0,'001908101,2305 SALT WORKS RD,PALESTINE,75803-3955,INDEPENDENT
1909101,SLOCUM ISD,SLOCUM PRE-K -,5,3.0,2.0,1.0,,,,,,3.0,3.0,0.0,3.0,,,,,3.0,,2.0,,3.0,3.0,0.0,20.0,6.0,14.0,,,,,,15.0,7.0,13.0,7.0,,,,,20.0,,18.0,,18.0,11.0,9.0,10.0,4.0,6.0,,,,,,5.0,2.0,8.0,2.0,,,,,10.0,,10.0,,8.0,2.0,8.0,5.0,1.0,4.0,,,,,,2.0,1.0,4.0,1.0,,,,,5.0,,5.0,,3.0,1.0,4.0,'001909101,5765 E STATE HWY 294,ELKHART,75839-9802,INDEPENDENT
2901104,ANDREWS ISD,UNDERWOOD ELEM.,5,97.0,47.0,50.0,71.0,,,4.0,,20.0,62.0,35.0,54.0,8.0,,,,97.0,14.0,83.0,0.0,97.0,74.0,23.0,220.0,120.0,99.0,133.0,,,1.0,,77.0,55.0,165.0,52.0,2.0,,,,220.0,8.0,212.0,29.0,191.0,69.0,151.0,134.0,72.0,62.0,79.0,,,0.0,,50.0,28.0,106.0,27.0,1.0,,,,134.0,2.0,132.0,24.0,110.0,21.0,113.0,74.0,44.0,30.0,40.0,,,0.0,,32.0,13.0,61.0,12.0,1.0,,,,74.0,1.0,73.0,19.0,55.0,6.0,68.0,'002901104,316 SW 5TH ST,ANDREWS,79714-6905,INDEPENDENT
3801103,PINEYWOODS COMM,SARAH STRINDEN,5,5.0,4.0,1.0,3.0,,,0.0,,2.0,5.0,0.0,4.0,1.0,,,,5.0,3.0,2.0,0.0,5.0,4.0,1.0,77.0,33.0,43.0,18.0,,,17.0,,37.0,37.0,40.0,29.0,8.0,,,,77.0,4.0,73.0,8.0,69.0,34.0,43.0,54.0,24.0,30.0,12.0,,,8.0,,30.0,21.0,33.0,15.0,6.0,,,,54.0,1.0,53.0,8.0,46.0,17.0,37.0,35.0,17.0,18.0,9.0,,,6.0,,19.0,14.0,21.0,8.0,6.0,,,,35.0,0.0,35.0,8.0,27.0,7.0,28.0,'003801103,602 S RAGUET ST,LUFKIN,75904,CHARTER
3902102,HUDSON ISD,W.H. BONNER ELE,5,7.0,2.0,5.0,0.0,,,1.0,,6.0,5.0,2.0,5.0,0.0,,,,7.0,3.0,4.0,0.0,7.0,4.0,3.0,203.0,100.0,103.0,56.0,,,18.0,,122.0,114.0,89.0,103.0,11.0,,,,203.0,10.0,193.0,13.0,190.0,70.0,133.0,164.0,84.0,80.0,41.0,,,10.0,,108.0,83.0,81.0,75.0,8.0,,,,164.0,3.0,161.0,13.0,151.0,44.0,120.0,121.0,61.0,60.0,34.0,,,6.0,,76.0,57.0,64.0,49.0,8.0,,,,121.0,2.0,119.0,13.0,108.0,28.0,93.0,'003902102,536 FM 3258,LUFKIN,75904,INDEPENDENT
