Zipcode,Income 50-74K,Income 75-100K,High School Diploma,Bachelor's Degree,Non Poverty Family,Poverty Family
84306,0.0,0.0,24.0,35.0,40.0,0.0
84775,0.0,0.0,50.0,71.0,16.0,0.0
84762,0.0,0.0,83.0,22.0,0.0,0.0
84772,0.0,0.0,61.0,6.0,32.0,0.0
84781,0.0,0.0,23.0,88.0,38.0,0.0
84511,0.0,0.0,433.0,396.0,767.0,123.0
84513,0.0,0.0,306.0,94.0,307.0,47.0
84516,0.0,0.0,62.0,16.0,15.0,8.0
84522,0.0,0.0,83.0,34.0,31.0,12.0
84532,0.0,0.0,1646.0,1177.0,921.0,7.0
84601,5.0,5.0,3346.0,3664.0,4245.0,511.0
84620,0.0,0.0,290.0,34.0,182.0,34.0
84628,1.0,0.0,147.0,33.0,19.0,9.0
84629,0.0,0.0,580.0,186.0,574.0,0.0
84630,0.0,0.0,14.0,42.0,93.0,8.0
84634,0.0,0.0,899.0,146.0,256.0,0.0
84647,0.0,0.0,735.0,346.0,410.0,57.0
84663,20.0,4.0,2567.0,4075.0,6377.0,406.0
84710,0.0,0.0,5.0,13.0,37.0,0.0
84004,29.0,15.0,527.0,1831.0,2683.0,155.0
84529,0.0,0.0,80.0,8.0,0.0,0.0
84531,0.0,0.0,282.0,12.0,76.0,21.0
84536,0.0,0.0,446.0,32.0,82.0,91.0
93249,0.0,0.0,279.0,0.0,381.0,109.0
93252,0.0,0.0,565.0,150.0,98.0,64.0
93270,0.0,0.0,632.0,209.0,743.0,348.0
93291,13.0,36.0,5501.0,4549.0,5963.0,1589.0
93304,0.0,8.0,8847.0,1485.0,3666.0,1699.0
93306,49.0,0.0,9574.0,4735.0,7658.0,2179.0
93307,47.0,0.0,10715.0,1514.0,8931.0,2841.0
93420,169.0,32.0,3564.0,4637.0,2958.0,127.0
93454,27.0,0.0,4218.0,2663.0,3420.0,772.0
93458,64.0,3.0,4207.0,1416.0,6998.0,1548.0
93461,0.0,0.0,250.0,88.0,111.0,25.0
93536,162.0,25.0,10691.0,6538.0,6830.0,632.0
93546,0.0,5.0,968.0,1729.0,1067.0,86.0
