,CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Full Address,Latitude,Longitude
0,1902103,CAYUGA ISD,CAYUGA ELEM.,3,INDEPENDENT,17750 N US HWY 287,TENNESSEE COLONY,75861,6.0,40.0,38.0,27.0,"17750 N US HWY 287 TENNESSEE COLONY,TX 75861",31.9229638,-95.92387049999999
1,1903102,ELKHART ISD,ELKHART INTERME,3,INDEPENDENT,301 E PARKER ST,ELKHART,75839-9701,26.0,68.0,37.0,12.0,"301 E PARKER ST ELKHART,TX 75839-9701",31.6281018,-95.5789828
2,1904102,FRANKSTON ISD,FRANKSTON ELEM.,3,INDEPENDENT,100 PERRY ST,FRANKSTON,75763-0428,16.0,39.0,26.0,10.0,"100 PERRY ST FRANKSTON,TX 75763-0428",32.0621485,-95.5042737
3,1906102,NECHES ISD,NECHES ELEM.,3,INDEPENDENT,3055 FM 2574,PALESTINE,75803,5.0,20.0,7.0,2.0,"3055 FM 2574 PALESTINE,TX 75803",31.8706044,-95.49208039999999
4,1907107,PALESTINE ISD,SOUTHSIDE ELEM.,3,INDEPENDENT,201 GILLESPIE RD,PALESTINE,75801-7627,46.0,174.0,93.0,51.0,"201 GILLESPIE RD PALESTINE,TX 75801-7627",31.7409214,-95.62485249999999
5,1908101,WESTWOOD ISD,WESTWOOD ELEM.,3,INDEPENDENT,2305 SALT WORKS RD,PALESTINE,75803-3955,50.0,56.0,22.0,6.0,"2305 SALT WORKS RD PALESTINE,TX 75803-3955",31.748752,-95.679588
6,1909101,SLOCUM ISD,SLOCUM PRE-K -,3,INDEPENDENT,5765 E STATE HWY 294,ELKHART,75839-9802,5.0,22.0,13.0,5.0,"5765 E STATE HWY 294 ELKHART,TX 75839-9802",31.6321077,-95.46213639999999
7,2901101,ANDREWS ISD,DEVONIAN ELEM.,3,INDEPENDENT,1214 NW 11TH ST,ANDREWS,79714-3240,49.0,232.0,144.0,69.0,"1214 NW 11TH ST ANDREWS,TX 79714-3240",32.3291948,-102.5632399
8,3801103,PINEYWOODS COMM,SARAH STRINDEN,3,CHARTER,602 S RAGUET ST,LUFKIN,75904,15.0,65.0,44.0,28.0,"602 S RAGUET ST LUFKIN,TX 75904",31.3324899,-94.7321992
9,3902102,HUDSON ISD,W.H. BONNER ELE,3,INDEPENDENT,536 FM 3258,LUFKIN,75904,27.0,166.0,107.0,49.0,"536 FM 3258 LUFKIN,TX 75904",31.3141608,-94.8452212
10,3903120,LUFKIN ISD,ANDERSON ELEM.,3,INDEPENDENT,381 CHAMPION DR,LUFKIN,75901-7229,29.0,50.0,20.0,4.0,"381 CHAMPION DR LUFKIN,TX 75901-7229",31.287825,-94.723669
11,3903121,LUFKIN ISD,BRANDON ELEM.,3,INDEPENDENT,1612 SAYERS ST,LUFKIN,75904-2012,29.0,96.0,62.0,31.0,"1612 SAYERS ST LUFKIN,TX 75904-2012",31.3599949,-94.7336314
12,3903122,LUFKIN ISD,BROOKHOLLOW ELE,3,INDEPENDENT,1009 LIVE OAK LN,LUFKIN,75904-4245,37.0,64.0,25.0,12.0,"1009 LIVE OAK LN LUFKIN,TX 75904-4245",31.3157898,-94.76635519999999
13,3903123,LUFKIN ISD,COSTON ELEM.,3,INDEPENDENT,707 TRENTON,LUFKIN,75901-2497,23.0,55.0,26.0,10.0,"707 TRENTON LUFKIN,TX 75901-2497",31.3508382,-94.7128886
14,3903129,LUFKIN ISD,SLACK ELEM.,3,INDEPENDENT,1305 FULLER SPRINGS DR,LUFKIN,75901-6515,29.0,127.0,71.0,31.0,"1305 FULLER SPRINGS DR LUFKIN,TX 75901-6515",31.307878,-94.69563900000001
15,3904101,HUNTINGTON ISD,HUNTINGTON ELEM,3,INDEPENDENT,408 E LINN ST,HUNTINGTON,75949-0328,27.0,86.0,44.0,21.0,"408 E LINN ST HUNTINGTON,TX 75949-0328",31.2807554,-94.5676922
16,3905103,DIBOLL ISD,H.G. TEMPLE INT,3,INDEPENDENT,1301 LUMBERJACK DR,DIBOLL,75941,31.0,76.0,35.0,12.0,"1301 LUMBERJACK DR DIBOLL,TX 75941",31.1962382,-94.7616821
17,3906101,ZAVALLA ISD,ZAVALLA ELEM.,3,INDEPENDENT,431 E MAIN ST,ZAVALLA,75980-0045,4.0,23.0,14.0,9.0,"431 E MAIN ST ZAVALLA,TX 75980-0045",31.1583866,-94.4205295
18,3907102,CENTRAL ISD,CENTRAL ELEM.,3,INDEPENDENT,8578 US HWY 69N,POLLOK,75969-9710,28.0,74.0,33.0,13.0,"8578 US HWY 69N POLLOK,TX 75969-9710",31.4347163,-94.8270608
19,4901101,ARANSAS COUNTY,FULTON LEARNING,3,INDEPENDENT,314 N 6TH ST,FULTON,78358-0907,91.0,126.0,51.0,28.0,"314 N 6TH ST FULTON,TX 78358-0907",28.0644946,-97.0388826
20,5901101,ARCHER CITY ISD,ARCHER CITY ELE,3,INDEPENDENT,602 S ASH ST,ARCHER CITY,76351-0926,0.0,27.0,23.0,18.0,"602 S ASH ST ARCHER CITY,TX 76351-0926",33.5893437,-98.6300535
21,5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,3,INDEPENDENT,751 COLLEGE AVE,HOLLIDAY,76366-0689,15.0,53.0,30.0,7.0,"751 COLLEGE AVE HOLLIDAY,TX 76366-0689",33.8090305,-98.68733759999999
22,5904101,WINDTHORST ISD,WINDTHORST ELEM,3,INDEPENDENT,100 ST MARYS DR,WINDTHORST,76389-0190,1.0,22.0,14.0,9.0,"100 ST MARYS DR WINDTHORST,TX 76389-0190",33.5749306,-98.44031439999999
24,7901101,CHARLOTTE ISD,CHARLOTTE ELEM.,3,INDEPENDENT,168 WATSON AVE,CHARLOTTE,78011-0489,2.0,28.0,15.0,4.0,"168 WATSON AVE CHARLOTTE,TX 78011-0489",28.8615389,-98.70159029999999
25,7902101,JOURDANTON ISD,JOURDANTON ELEM,3,INDEPENDENT,200 ZANDERSON AVE,JOURDANTON,78026-3045,35.0,84.0,40.0,15.0,"200 ZANDERSON AVE JOURDANTON,TX 78026-3045",28.9091901,-98.5425764
26,7904101,LYTLE ISD,LYTLE ELEM.,3,INDEPENDENT,11550 LAREDO,LYTLE,78052-1060,45.0,74.0,30.0,12.0,"11550 LAREDO LYTLE,TX 78052-1060",29.2348088,-98.8045203
27,7905103,PLEASANTON ISD,PLEASANTON ELEM,3,INDEPENDENT,101 GRANT ST,PLEASANTON,78064-3028,79.0,159.0,75.0,35.0,"101 GRANT ST PLEASANTON,TX 78064-3028",28.968512,-98.5014834
28,7906101,POTEET ISD,POTEET ELEM.,3,INDEPENDENT,965 HORTON LN,POTEET,78065-0138,41.0,90.0,42.0,9.0,"965 HORTON LN POTEET,TX 78065-0138",29.04468199999999,-98.5711438
29,8901101,BELLVILLE ISD,O'BRYANT PRIMAR,3,INDEPENDENT,413 S TESCH,BELLVILLE,77418-1599,30.0,113.0,67.0,34.0,"413 S TESCH BELLVILLE,TX 77418-1599",29.9439111,-96.2542725
30,8901105,BELLVILLE ISD,WEST END ELEM.,3,INDEPENDENT,7453 ERNST PKWY,INDUSTRY,78944-0099,7.0,18.0,11.0,6.0,"7453 ERNST PKWY INDUSTRY,TX 78944-0099",29.9673655,-96.50222699999999
31,8902102,SEALY ISD,SELMAN ELEM.,3,INDEPENDENT,1741 HWY 90 W,SEALY,77474-3400,30.0,75.0,41.0,15.0,"1741 HWY 90 W SEALY,TX 77474-3400",29.766416,-96.17145599999999
32,8902104,SEALY ISD,SEALY ELEM.,3,INDEPENDENT,723 FM 2187,SEALY,77474,26.0,67.0,32.0,12.0,"723 FM 2187 SEALY,TX 77474",29.7969503,-96.1654954
33,8903102,BRAZOS ISD,BRAZOS ELEM.,3,INDEPENDENT,9814 KIBLER ST,ORCHARD,77464-0030,14.0,44.0,23.0,9.0,"9814 KIBLER ST ORCHARD,TX 77464-0030",29.6109125,-95.9693542
34,9901101,MULESHOE ISD,MARY DESHAZO EL,3,INDEPENDENT,300 W 3RD,MULESHOE,79347-3499,41.0,50.0,25.0,13.0,"300 W 3RD MULESHOE,TX 79347-3499",34.2258961,-102.7287745
35,10901001,MEDINA ISD,MEDINA SCHOOL,3,INDEPENDENT,ONE BOBCAT LN,MEDINA,78055-1470,7.0,13.0,6.0,2.0,"ONE BOBCAT LN MEDINA,TX 78055-1470",29.8000156,-99.2485743
36,10902101,BANDERA ISD,ALKEK ELEM.,3,INDEPENDENT,1798 HWY 173 S,BANDERA,78003-0727,8.0,55.0,30.0,15.0,"1798 HWY 173 S BANDERA,TX 78003-0727",29.7023984,-99.0598636
37,10902102,BANDERA ISD,HILL COUNTRY EL,3,INDEPENDENT,6346 FM 1283,PIPE CREEK,78063,20.0,52.0,23.0,10.0,"6346 FM 1283 PIPE CREEK,TX 78063",29.6451555,-98.94403469999999
38,11901101,BASTROP ISD,EMILE ELEM.,3,INDEPENDENT,601 MLK,BASTROP,78602-3717,35.0,97.0,55.0,29.0,"601 MLK BASTROP,TX 78602-3717",30.1076539,-97.31038760000001
39,11901102,BASTROP ISD,MINA ELEM.,3,INDEPENDENT,1203 HILL ST,BASTROP,78602-3717,7.0,96.0,53.0,25.0,"1203 HILL ST BASTROP,TX 78602-3717",30.112972,-97.31489400000001
40,11901103,BASTROP ISD,CEDAR CREEK ELE,3,INDEPENDENT,5582 FM 535,CEDAR CREEK,78612,27.0,114.0,74.0,35.0,"5582 FM 535 CEDAR CREEK,TX 78612",30.0844586,-97.499234
41,11901107,BASTROP ISD,RED ROCK ELEM.,3,INDEPENDENT,2401 FM 20,RED ROCK,78662,50.0,71.0,34.0,10.0,"2401 FM 20 RED ROCK,TX 78662",29.958399,-97.451153
42,11901109,BASTROP ISD,BLUEBONNET ELEM,3,INDEPENDENT,416 FM 1209,BASTROP,78602,38.0,100.0,62.0,27.0,"416 FM 1209 BASTROP,TX 78602",30.1328749,-97.4301136
43,11901110,BASTROP ISD,LOST PINES ELEM,3,INDEPENDENT,151 TIGER WOODS DR,BASTROP,78602,41.0,84.0,41.0,21.0,"151 TIGER WOODS DR BASTROP,TX 78602",30.1773909,-97.27986990000001
44,11902101,ELGIN ISD,BOOKER T. WASHI,3,INDEPENDENT,510 MLK,ELGIN,78621-3032,57.0,46.0,17.0,6.0,"510 MLK ELGIN,TX 78621-3032",30.341745,-97.3652317
45,11902102,ELGIN ISD,ELGIN ELEM.,3,INDEPENDENT,1005 W 2ND ST,ELGIN,78621-2038,27.0,59.0,26.0,12.0,"1005 W 2ND ST ELGIN,TX 78621-2038",30.3495615,-97.3799073
46,11902103,ELGIN ISD,NEIDIG ELEM.,3,INDEPENDENT,13700 COUNTY LINE RD,ELGIN,78621,35.0,69.0,31.0,12.0,"13700 COUNTY LINE RD ELGIN,TX 78621",30.361216,-97.40892939999999
