,Unnamed: 0,CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Full Address,Latitude,Longitude,Total Students,% Pass,Quadrant,random,university
2500,2533,101920018,SPRING BRANCH I,SPRING BRANCH A,3,INDEPENDENT,14400 FERN,HOUSTON,77079,0.0,5.0,5.0,5.0,"14400 FERN HOUSTON,TX 77079",29.77607849999999,-95.6008724,15.0,66.66666666666667,SE,2955,1
4319,4376,240901122,LAREDO ISD,J. KAWAS ELEM.,3,INDEPENDENT,2100 S MILMO AVE,LAREDO,78046-6511,1.0,67.0,64.0,54.0,"2100 S MILMO AVE LAREDO,TX 78046-6511",27.478780199999996,-99.47137159999998,186.0,63.44086021505376,SW,1998,1
3280,3322,170902120,CONROE ISD,GALATAS ELEM.,3,INDEPENDENT,9001 COCHRANS CROSSING DR,THE WOODLANDS,77381-2557,1.0,127.0,120.0,102.0,"9001 COCHRANS CROSSING DR THE WOODLANDS,TX 77381-2557",30.196984000000004,-95.528048,350.0,63.42857142857143,SE,3116,1
3398,3440,178904139,CORPUS CHRISTI,WINDSOR PARK EL,3,INDEPENDENT,4525 S ALAMEDA ST,CORPUS CHRISTI,78412-2448,0.0,119.0,114.0,90.0,"4525 S ALAMEDA ST CORPUS CHRISTI,TX 78412-2448",27.726425,-97.3685689,323.0,63.1578947368421,SE,528,1
3229,3269,165901126,MIDLAND ISD,CARVER CENTER,3,INDEPENDENT,1300 E WALL ST,MIDLAND,79701-4997,1.0,98.0,91.0,73.0,"1300 E WALL ST MIDLAND,TX 79701-4997",31.999450399999997,-102.0588989,263.0,62.3574144486692,NW,332,1
4441,4499,246909134,ROUND ROCK ISD,PATSY SOMMER EL,3,INDEPENDENT,16200 AVERY RANCH BLVD,AUSTIN,78717,3.0,221.0,202.0,169.0,"16200 AVERY RANCH BLVD AUSTIN,TX 78717",30.504527000000003,-97.752023,595.0,62.35294117647059,SE,1300,1
3961,4008,220919107,CARROLL ISD,OLD UNION ELEM.,3,INDEPENDENT,1050 S CARROLL AVE,SOUTHLAKE,76092,1.0,78.0,75.0,55.0,"1050 S CARROLL AVE SOUTHLAKE,TX 76092",32.9274225,-97.1313948,209.0,62.20095693779904,NE,2253,1
1892,1922,92903117,LONGVIEW ISD,HUDSON ELEM.,3,INDEPENDENT,1311 LILLY ST,LONGVIEW,75602-3123,0.0,120.0,111.0,86.0,"1311 LILLY ST LONGVIEW,TX 75602-3123",32.4742725,-94.7095668,317.0,62.14511041009464,NE,1330,1
800,811,43910133,PLANO ISD,SKAGGS ELEM.,3,INDEPENDENT,3201 RUSSELL CREEK DR,PLANO,75025-4044,3.0,60.0,56.0,47.0,"3201 RUSSELL CREEK DR PLANO,TX 75025-4044",33.0940275,-96.7551247,166.0,62.04819277108434,NE,4049,1
843,854,43919104,LOVEJOY ISD,ROBERT L. PUSTE,3,INDEPENDENT,856 STODDARD RD,FAIRVIEW,75069,3.0,84.0,79.0,63.0,"856 STODDARD RD FAIRVIEW,TX 75069",33.152845,-96.624992,229.0,62.00873362445415,NE,944,1
