CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,Zipcode,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Income Below 75K,Income Over 100K,High School Diploma,Master Degree,Poverty Family,Non Poverty Family
1902103,CAYUGA ISD,CAYUGA ELEM.,5,INDEPENDENT,17750 N US HWY 287,TENNESSEE COLONY,75861.0,4.0,44.0,41.0,29.0,0.0,0.0,1132.0,45.0,0.0,192.0
1903102,ELKHART ISD,ELKHART INTERME,5,INDEPENDENT,301 E PARKER ST,ELKHART,75839.0,3.0,80.0,65.0,43.0,12.0,0.0,1123.0,125.0,48.0,601.0
1904102,FRANKSTON ISD,FRANKSTON ELEM.,5,INDEPENDENT,100 PERRY ST,FRANKSTON,75763.0,7.0,53.0,40.0,26.0,0.0,0.0,1341.0,278.0,131.0,582.0
1906102,NECHES ISD,NECHES ELEM.,5,INDEPENDENT,3055 FM 2574,PALESTINE,75803.0,1.0,23.0,15.0,10.0,53.0,0.0,4501.0,501.0,136.0,2279.0
1907110,PALESTINE ISD,STORY INTERMEDI,5,INDEPENDENT,5300 S LOOP 256,PALESTINE,75801.0,58.0,185.0,106.0,51.0,0.0,0.0,2441.0,545.0,43.0,1334.0
1908101,WESTWOOD ISD,WESTWOOD ELEM.,5,INDEPENDENT,2305 SALT WORKS RD,PALESTINE,75803.0,43.0,82.0,38.0,22.0,53.0,0.0,4501.0,501.0,136.0,2279.0
1909101,SLOCUM ISD,SLOCUM PRE-K -,5,INDEPENDENT,5765 E STATE HWY 294,ELKHART,75839.0,3.0,20.0,10.0,5.0,12.0,0.0,1123.0,125.0,48.0,601.0
2901104,ANDREWS ISD,UNDERWOOD ELEM.,5,INDEPENDENT,316 SW 5TH ST,ANDREWS,79714.0,97.0,220.0,134.0,74.0,10.0,0.0,3109.0,270.0,298.0,2627.0
3801103,PINEYWOODS COMM,SARAH STRINDEN,5,CHARTER,602 S RAGUET ST,LUFKIN,75904.0,5.0,77.0,54.0,35.0,0.0,0.0,4927.0,1097.0,232.0,3380.0
3902102,HUDSON ISD,W.H. BONNER ELE,5,INDEPENDENT,536 FM 3258,LUFKIN,75904.0,7.0,203.0,164.0,121.0,0.0,0.0,4927.0,1097.0,232.0,3380.0
3903120,LUFKIN ISD,ANDERSON ELEM.,5,INDEPENDENT,381 CHAMPION DR,LUFKIN,75901.0,14.0,71.0,49.0,30.0,40.0,0.0,4775.0,828.0,673.0,3201.0
3903121,LUFKIN ISD,BRANDON ELEM.,5,INDEPENDENT,1612 SAYERS ST,LUFKIN,75904.0,35.0,97.0,72.0,50.0,0.0,0.0,4927.0,1097.0,232.0,3380.0
3903122,LUFKIN ISD,BROOKHOLLOW ELE,5,INDEPENDENT,1009 LIVE OAK LN,LUFKIN,75904.0,23.0,82.0,46.0,28.0,0.0,0.0,4927.0,1097.0,232.0,3380.0
3903123,LUFKIN ISD,COSTON ELEM.,5,INDEPENDENT,707 TRENTON,LUFKIN,75901.0,12.0,74.0,51.0,38.0,40.0,0.0,4775.0,828.0,673.0,3201.0
3903129,LUFKIN ISD,SLACK ELEM.,5,INDEPENDENT,1305 FULLER SPRINGS DR,LUFKIN,75901.0,44.0,100.0,58.0,35.0,40.0,0.0,4775.0,828.0,673.0,3201.0
3904102,HUNTINGTON ISD,HUNTINGTON INTE,5,INDEPENDENT,950 GIBSON,HUNTINGTON,75949.0,12.0,113.0,67.0,40.0,0.0,0.0,1604.0,140.0,135.0,594.0
3905103,DIBOLL ISD,H.G. TEMPLE INT,5,INDEPENDENT,1301 LUMBERJACK DR,DIBOLL,75941.0,26.0,117.0,61.0,33.0,0.0,0.0,1430.0,183.0,150.0,769.0
3906101,ZAVALLA ISD,ZAVALLA ELEM.,5,INDEPENDENT,431 E MAIN ST,ZAVALLA,75980.0,3.0,17.0,10.0,7.0,0.0,0.0,551.0,16.0,16.0,205.0
3907041,CENTRAL ISD,CENTRAL JR.H.,5,INDEPENDENT,7622 US HWY 69 N,POLLOK,75969.0,24.0,81.0,44.0,23.0,0.0,0.0,946.0,141.0,4.0,316.0
4901101,ARANSAS COUNTY,FULTON LEARNING,5,INDEPENDENT,314 N 6TH ST,FULTON,78358.0,71.0,163.0,97.0,62.0,0.0,0.0,108.0,12.0,0.0,20.0
5901101,ARCHER CITY ISD,ARCHER CITY ELE,5,INDEPENDENT,602 S ASH ST,ARCHER CITY,76351.0,1.0,32.0,24.0,15.0,0.0,0.0,457.0,37.0,42.0,168.0
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,5,INDEPENDENT,751 COLLEGE AVE,HOLLIDAY,76366.0,9.0,74.0,60.0,42.0,0.0,0.0,383.0,36.0,27.0,221.0
5904101,WINDTHORST ISD,WINDTHORST ELEM,5,INDEPENDENT,100 ST MARYS DR,WINDTHORST,76389.0,1.0,27.0,19.0,15.0,0.0,0.0,328.0,22.0,5.0,192.0
6902101,CLAUDE ISD,CLAUDE ELEM.,5,,,,,0.0,29.0,21.0,16.0,,,,,,
