CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,Zipcode,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
1902103,CAYUGA ISD,CAYUGA ELEM.,5,INDEPENDENT,17750 N US HWY 287,TENNESSEE COLONY,75861,4,44,41,29
1903102,ELKHART ISD,ELKHART INTERME,5,INDEPENDENT,301 E PARKER ST,ELKHART,75839,3,80,65,43
1904102,FRANKSTON ISD,FRANKSTON ELEM.,5,INDEPENDENT,100 PERRY ST,FRANKSTON,75763,7,53,40,26
1906102,NECHES ISD,NECHES ELEM.,5,INDEPENDENT,3055 FM 2574,PALESTINE,75803,1,23,15,10
1907110,PALESTINE ISD,STORY INTERMEDI,5,INDEPENDENT,5300 S LOOP 256,PALESTINE,75801,58,185,106,51
1908101,WESTWOOD ISD,WESTWOOD ELEM.,5,INDEPENDENT,2305 SALT WORKS RD,PALESTINE,75803,43,82,38,22
1909101,SLOCUM ISD,SLOCUM PRE-K -,5,INDEPENDENT,5765 E STATE HWY 294,ELKHART,75839,3,20,10,5
2901104,ANDREWS ISD,UNDERWOOD ELEM.,5,INDEPENDENT,316 SW 5TH ST,ANDREWS,79714,97,220,134,74
3801103,PINEYWOODS COMM,SARAH STRINDEN,5,CHARTER,602 S RAGUET ST,LUFKIN,75904,5,77,54,35
3902102,HUDSON ISD,W.H. BONNER ELE,5,INDEPENDENT,536 FM 3258,LUFKIN,75904,7,203,164,121
3903120,LUFKIN ISD,ANDERSON ELEM.,5,INDEPENDENT,381 CHAMPION DR,LUFKIN,75901,14,71,49,30
3903121,LUFKIN ISD,BRANDON ELEM.,5,INDEPENDENT,1612 SAYERS ST,LUFKIN,75904,35,97,72,50
3903122,LUFKIN ISD,BROOKHOLLOW ELE,5,INDEPENDENT,1009 LIVE OAK LN,LUFKIN,75904,23,82,46,28
3903123,LUFKIN ISD,COSTON ELEM.,5,INDEPENDENT,707 TRENTON,LUFKIN,75901,12,74,51,38
3903129,LUFKIN ISD,SLACK ELEM.,5,INDEPENDENT,1305 FULLER SPRINGS DR,LUFKIN,75901,44,100,58,35
3904102,HUNTINGTON ISD,HUNTINGTON INTE,5,INDEPENDENT,950 GIBSON,HUNTINGTON,75949,12,113,67,40
3905103,DIBOLL ISD,H.G. TEMPLE INT,5,INDEPENDENT,1301 LUMBERJACK DR,DIBOLL,75941,26,117,61,33
3906101,ZAVALLA ISD,ZAVALLA ELEM.,5,INDEPENDENT,431 E MAIN ST,ZAVALLA,75980,3,17,10,7
3907041,CENTRAL ISD,CENTRAL JR.H.,5,INDEPENDENT,7622 US HWY 69 N,POLLOK,75969,24,81,44,23
4901101,ARANSAS COUNTY,FULTON LEARNING,5,INDEPENDENT,314 N 6TH ST,FULTON,78358,71,163,97,62
5901101,ARCHER CITY ISD,ARCHER CITY ELE,5,INDEPENDENT,602 S ASH ST,ARCHER CITY,76351,1,32,24,15
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,5,INDEPENDENT,751 COLLEGE AVE,HOLLIDAY,76366,9,74,60,42
5904101,WINDTHORST ISD,WINDTHORST ELEM,5,INDEPENDENT,100 ST MARYS DR,WINDTHORST,76389,1,27,19,15
6902101,CLAUDE ISD,CLAUDE ELEM.,5,,,,,0,29,21,16
7901041,CHARLOTTE ISD,CHARLOTTE M.S.,5,INDEPENDENT,95 ROSE BLVD,CHARLOTTE,78011,14,21,10,5
7902101,JOURDANTON ISD,JOURDANTON ELEM,5,INDEPENDENT,200 ZANDERSON AVE,JOURDANTON,78026,34,85,47,25
7904101,LYTLE ISD,LYTLE ELEM.,5,INDEPENDENT,11550 LAREDO,LYTLE,78052,30,94,59,35
7905103,PLEASANTON ISD,PLEASANTON ELEM,5,INDEPENDENT,101 GRANT ST,PLEASANTON,78064,85,172,85,47
7906102,POTEET ISD,POTEET INTERMED,5,INDEPENDENT,838 SCHOOL DRIVEE,POTEET,78065,29,91,63,32
8901102,BELLVILLE ISD,O'BRYANT INTERM,5,INDEPENDENT,414 S TESCH,BELLVILLE,77418,25,106,65,39
8901105,BELLVILLE ISD,WEST END ELEM.,5,INDEPENDENT,7453 ERNST PKWY,INDUSTRY,78944,1,27,16,12
8902102,SEALY ISD,SELMAN ELEM.,5,INDEPENDENT,1741 HWY 90 W,SEALY,77474,24,93,55,37
8902104,SEALY ISD,SEALY ELEM.,5,INDEPENDENT,723 FM 2187,SEALY,77474,20,100,53,31
8903102,BRAZOS ISD,BRAZOS ELEM.,5,INDEPENDENT,9814 KIBLER ST,ORCHARD,77464,21,45,20,10
8903103,BRAZOS ISD,PRAIRIE HARBOR,5,INDEPENDENT,7146 HWY 60,WALLIS,77485,,,,
9901101,MULESHOE ISD,MARY DESHAZO EL,5,INDEPENDENT,300 W 3RD,MULESHOE,79347,33,70,38,21
10901001,MEDINA ISD,MEDINA SCHOOL,5,INDEPENDENT,ONE BOBCAT LN,MEDINA,78055,4,16,11,5
10902101,BANDERA ISD,ALKEK ELEM.,5,INDEPENDENT,1798 HWY 173 S,BANDERA,78003,14,74,52,31
10902102,BANDERA ISD,HILL COUNTRY EL,5,INDEPENDENT,6346 FM 1283,PIPE CREEK,78063,32,51,20,7
11901104,BASTROP ISD,BASTROP INTERME,5,INDEPENDENT,509 OLD AUSTIN HWY,BASTROP,78602,104,315,220,132
11901108,BASTROP ISD,CEDAR CREEK INT,5,INDEPENDENT,151 VOSS PKWY,CEDAR CREEK,78612,106,309,185,94
11902101,ELGIN ISD,BOOKER T. WASHI,5,INDEPENDENT,510 MLK,ELGIN,78621,49,72,28,12
11902102,ELGIN ISD,ELGIN ELEM.,5,INDEPENDENT,1005 W 2ND ST,ELGIN,78621,43,59,31,12
11902103,ELGIN ISD,NEIDIG ELEM.,5,INDEPENDENT,13700 COUNTY LINE RD,ELGIN,78621,50,50,24,14
11904101,SMITHVILLE ISD,SMITHVILLE ELEM,5,INDEPENDENT,800 BISHOP ST,SMITHVILLE,78957,36,100,60,37
11905101,MCDADE ISD,MCDADE ELEM.,5,INDEPENDENT,156 MARLIN ST,MCDADE,78650,13,21,11,5
12901042,SEYMOUR ISD,SEYMOUR M.S.,5,INDEPENDENT,409 W IDAHO ST,SEYMOUR,76380,3,44,28,12
13801101,ST. MARY'S ACAD,ST. MARY'S ACAD,5,CHARTER,410 N TYLER ST,BEEVILLE,78102,4,64,43,20
