Zipcode,Income Below 75K,Income Over 100K,High School Diploma,Master Degree,Poverty Family,Non Poverty Family
84306,0.0,0.0,24.0,18.0,0.0,40.0
84775,0.0,0.0,50.0,58.0,0.0,16.0
84762,0.0,0.0,83.0,22.0,0.0,0.0
84772,0.0,0.0,61.0,8.0,0.0,32.0
84781,0.0,0.0,23.0,0.0,0.0,38.0
84511,0.0,0.0,433.0,236.0,123.0,767.0
84513,0.0,0.0,306.0,17.0,47.0,307.0
84516,0.0,0.0,62.0,0.0,8.0,15.0
84522,0.0,0.0,83.0,0.0,12.0,31.0
84532,0.0,0.0,1646.0,498.0,7.0,921.0
84601,5.0,7.0,3346.0,827.0,511.0,4245.0
84620,0.0,0.0,290.0,48.0,34.0,182.0
84628,1.0,0.0,147.0,12.0,9.0,19.0
84629,0.0,0.0,580.0,70.0,0.0,574.0
84630,0.0,0.0,14.0,2.0,8.0,93.0
84634,0.0,0.0,899.0,67.0,0.0,256.0
84647,0.0,0.0,735.0,148.0,57.0,410.0
84663,20.0,7.0,2567.0,1269.0,406.0,6377.0
84710,0.0,0.0,5.0,7.0,0.0,37.0
84004,29.0,7.0,527.0,735.0,155.0,2683.0
84529,0.0,0.0,80.0,19.0,0.0,0.0
84531,0.0,0.0,282.0,0.0,21.0,76.0
84536,0.0,0.0,446.0,22.0,91.0,82.0
93249,0.0,0.0,279.0,0.0,109.0,381.0
93252,0.0,0.0,565.0,9.0,64.0,98.0
93270,0.0,0.0,632.0,50.0,348.0,743.0
93291,13.0,64.0,5501.0,2032.0,1589.0,5963.0
93304,0.0,0.0,8847.0,624.0,1699.0,3666.0
93306,49.0,0.0,9574.0,1915.0,2179.0,7658.0
93307,47.0,7.0,10715.0,480.0,2841.0,8931.0
93420,169.0,67.0,3564.0,2180.0,127.0,2958.0
93454,27.0,0.0,4218.0,877.0,772.0,3420.0
93458,64.0,0.0,4207.0,429.0,1548.0,6998.0
93461,0.0,0.0,250.0,21.0,25.0,111.0
93536,162.0,0.0,10691.0,3322.0,632.0,6830.0
93546,0.0,125.0,968.0,388.0,86.0,1067.0
93591,10.0,0.0,1051.0,80.0,226.0,864.0
93609,13.0,0.0,818.0,88.0,226.0,376.0
93616,0.0,0.0,251.0,67.0,199.0,169.0
93618,5.0,0.0,4418.0,256.0,1051.0,3468.0
93626,10.0,0.0,188.0,150.0,0.0,180.0
93501,0.0,0.0,883.0,69.0,10.0,269.0
90029,42.0,0.0,5869.0,1309.0,693.0,1509.0
90010,56.0,23.0,569.0,286.0,0.0,123.0
90024,183.0,72.0,1348.0,4576.0,101.0,1864.0
90025,197.0,82.0,2419.0,6391.0,170.0,1936.0
90201,194.0,0.0,12918.0,518.0,3564.0,9074.0
90031,106.0,0.0,4513.0,1118.0,1032.0,2378.0
90035,319.0,50.0,2552.0,3117.0,115.0,2575.0
90063,75.0,0.0,6416.0,500.0,1315.0,4925.0
90242,279.0,0.0,6449.0,1214.0,513.0,4104.0
90620,206.0,15.0,6413.0,1610.0,408.0,4418.0
90623,62.0,17.0,1838.0,1175.0,167.0,1620.0
90630,342.0,26.0,6200.0,3687.0,173.0,5959.0
90713,130.0,0.0,3835.0,1465.0,67.0,3137.0
90715,154.0,0.0,2804.0,673.0,287.0,1549.0
90716,83.0,0.0,2477.0,178.0,525.0,1082.0
90717,98.0,0.0,3155.0,1333.0,169.0,1447.0
90731,147.0,37.0,7811.0,1872.0,654.0,4745.0
90744,62.0,0.0,7820.0,380.0,1800.0,4464.0
90746,179.0,26.0,3296.0,1953.0,302.0,1918.0
90822,0.0,0.0,15.0,13.0,0.0,0.0
90008,107.0,39.0,4372.0,2487.0,594.0,1519.0
90013,0.0,0.0,1875.0,831.0,25.0,13.0
90016,190.0,17.0,6961.0,1835.0,1017.0,2703.0
93445,5.0,0.0,1268.0,203.0,305.0,744.0
93280,0.0,3.0,3964.0,153.0,706.0,2233.0
93301,16.0,9.0,1815.0,299.0,0.0,306.0
93437,0.0,0.0,83.0,181.0,17.0,396.0
93442,33.0,18.0,1437.0,871.0,18.0,742.0
93444,160.0,0.0,2437.0,1033.0,106.0,1981.0
93453,0.0,0.0,716.0,161.0,0.0,305.0
93463,80.0,2.0,698.0,494.0,129.0,581.0
93514,35.0,14.0,2882.0,738.0,16.0,1444.0
93529,0.0,0.0,66.0,19.0,0.0,98.0
93541,0.0,0.0,0.0,87.0,0.0,110.0
93549,0.0,0.0,67.0,0.0,0.0,4.0
93562,0.0,0.0,327.0,29.0,45.0,154.0
93268,0.0,0.0,3031.0,178.0,463.0,1407.0
93271,5.0,0.0,324.0,223.0,0.0,74.0
93954,0.0,0.0,65.0,0.0,0.0,22.0
93955,92.0,0.0,4115.0,1389.0,496.0,2971.0
93960,54.0,0.0,2582.0,196.0,582.0,2373.0
93962,0.0,0.0,19.0,8.0,0.0,40.0
93272,19.0,0.0,424.0,5.0,302.0,564.0
93308,59.0,0.0,9032.0,1039.0,333.0,4241.0
93402,78.0,9.0,1405.0,1218.0,10.0,1435.0
93429,0.0,0.0,10.0,0.0,0.0,15.0
93430,13.0,10.0,270.0,267.0,23.0,103.0
93063,335.0,37.0,7935.0,2350.0,267.0,6389.0
93205,0.0,0.0,344.0,42.0,0.0,100.0
93224,0.0,0.0,69.0,3.0,3.0,46.0
93226,0.0,0.0,57.0,5.0,0.0,8.0
93240,0.0,0.0,1586.0,210.0,204.0,330.0
93251,3.0,0.0,62.0,0.0,2.0,16.0
93265,0.0,0.0,583.0,175.0,66.0,113.0
93287,0.0,0.0,32.0,5.0,0.0,0.0
93309,28.0,0.0,9950.0,1678.0,1142.0,4187.0
93311,170.0,21.0,4702.0,2423.0,63.0,7091.0
93427,53.0,12.0,670.0,558.0,0.0,703.0
93446,303.0,16.0,6221.0,1314.0,637.0,4165.0
93451,8.0,2.0,523.0,96.0,66.0,413.0
93254,0.0,0.0,96.0,12.0,30.0,76.0
93285,0.0,0.0,521.0,112.0,0.0,0.0
93286,0.0,0.0,1180.0,206.0,503.0,1037.0
93312,159.0,14.0,7234.0,2630.0,124.0,7947.0
